,age,avg_worktime,computer_skill_required,edu,employment_insurance,full_parttime,gender,health_insurance,household_income,industrial_insurance,industry_class,job_class,job_starty,job_stress,leadership_required,lifting_required,marital,monthly_wage,position,public_pension,retirement_scheme,status
age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avg_worktime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
computer_skill_required,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
edu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
employment_insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
full_parttime,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1
gender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
health_insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
household_income,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1
industrial_insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry_class,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1
job_class,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1
job_starty,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1
job_stress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leadership_required,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lifting_required,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monthly_wage,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
position,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1
public_pension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
retirement_scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
status,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0
